Bitcoin,BTC,92251.04353572773,1841066714235.4827,81605327775.53903,-0.17814243,2.11740849,5.35151329,2025-12-03 22:02:36
Ethereum,ETH,3083.8580977717806,372207607023.011,27709869789.520443,0.13664484,2.81864256,4.71239385,2025-12-03 22:02:36
Tether USDt,USDT,1.0003472780535092,184752220480.65628,120947004030.70796,0.01296304,0.01208483,0.0631184,2025-12-03 22:02:36
XRP,XRP,2.166647360235598,130717378419.9413,4342326245.204846,-0.10420448,1.15778682,-1.10444019,2025-12-03 22:02:36
BNB,BNB,896.1274679446836,123429138051.10728,2754725367.569674,-0.01290179,3.09792898,3.28212325,2025-12-03 22:02:36
Solana,SOL,140.28052341232106,78525636170.36014,5955357537.056208,-0.48913018,1.73810385,1.81369659,2025-12-03 22:02:36
USDC,USDC,0.9999404640275726,77909962304.28426,14579018647.322554,0.01838882,0.00103009,0.02559799,2025-12-03 22:02:36
TRON,TRX,0.2791263136600353,26427351045.63733,639176988.1063648,0.12227744,-1.09435489,1.66309368,2025-12-03 22:02:36
Dogecoin,DOGE,0.14905083841832978,24079060518.533222,1561456896.8461814,0.02369798,2.4023441,-2.02468473,2025-12-03 22:02:36
Cardano,ADA,0.43445653332513445,15596420549.77751,885248386.0875051,0.04129316,1.34935591,3.83799429,2025-12-03 22:02:36
